iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
ESP,1972,15009.8013835844,34604469.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,203351673.4691442,9.616458692267102
ESP,1973,16001.05252517,34988947.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,217617284.08829382,9.680409781881448
ESP,1974,16716.4705153723,35373335.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,231771270.1702564,9.724149770777096
ESP,1975,16626.352597746998,35757900.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,237856155.8213888,9.718744221477547
ESP,1976,16995.0872796466,36137812.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,256646994.665894,9.74067959772436
ESP,1977,17298.561255731398,36511638.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,249795167.4309677,9.75837861261893
ESP,1978,17383.4501970366,36864898.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,249747481.26120925,9.763273894482406
ESP,1979,17238.0327535648,37191330.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,263013301.19329548,9.754873428284712
ESP,1980,17477.8681617888,37491165.0,0.0006361001338805308,1.5105852272128646,0.02847279783878289,1.13,0.591,277066577.47023016,9.768690683064223
ESP,1981,17331.0737300804,37758631.0,0.0014737199690922716,2.624798552680578,0.02847279783878289,1.13,0.591,281872641.23537415,9.760256338671496
ESP,1982,17442.0635062404,37986012.0,0.0005093661036294749,0.01863633381677445,0.02847279783878289,1.13,0.591,277126185.61305964,9.766640010775625
ESP,1983,17664.5395782831,38171525.0,0.0005472918969423745,1.439151094958873,0.02847279783878289,1.13,0.591,279631406.2963265,9.77931449538808
ESP,1984,17905.2890869632,38330364.0,0.0006636516874079135,1.6437328901963988,0.02847279783878289,1.13,0.591,270394794.9562164,9.792851427901926
ESP,1985,18254.680217721398,38469512.0,0.0004752742957802122,0.5152589406384983,0.02847279783878289,1.13,0.591,263188004.51236185,9.812176776418989
ESP,1986,18792.3315583693,38584624.0,0.00037084412292062876,0.5137217353731371,0.02847279783878289,1.13,0.591,268336540.28720528,9.841204169774487
ESP,1987,19783.3945582971,38684815.0,0.00011589688083702531,0.5855899789103296,0.02847279783878289,1.13,0.591,267142814.99662128,9.892598206139832
ESP,1988,20747.1806269516,38766939.0,0.00015830293159975155,0.43826209750529954,0.02847279783878289,1.13,0.591,275035060.60325307,9.940165643027294
ESP,1989,21714.583323625502,38827764.0,0.00010627761892123571,0.6126057632368426,0.02847279783878289,1.13,0.591,295072876.41220045,9.985739356372457
ESP,1990,22512.760996962403,38867322.0,0.00010226300590779522,0.5901257616874145,0.02847279783878289,1.13,0.591,300199818.458102,10.021837582841213
ESP,1991,23027.250700265897,38966376.0,8.160243958650256e-05,0.5668246900866531,0.02847279783878289,1.13,0.609,307744775.0351149,10.044433606629251
ESP,1992,23127.6760185304,39157685.0,8.684336355040379e-05,0.5351294899072814,0.02847279783878289,1.13,0.627,315828051.9191699,10.04878527540585
ESP,1993,22770.7331130749,39361262.0,9.095445256772155e-05,0.503585479550935,0.02847279783878289,1.13,0.6509999999999999,300698055.93081343,10.033231354985467
ESP,1994,23202.6727151181,39549108.0,9.052244712029058e-05,0.5011936046699207,0.02847279783878289,1.13,0.6709999999999999,311451334.1175504,10.052022754256868
ESP,1995,23737.4843582365,39724050.0,8.101455754638881e-05,0.477601251634715,0.02847279783878289,1.13,0.687,325647855.06304437,10.074810696172941
ESP,1996,24267.736181509303,39889852.0,7.971329007299759e-05,0.42592486931262613,0.02847279783878289,1.13,0.6970000000000001,318937413.47423303,10.096903017959308
ESP,1997,25061.0125819586,40057389.0,0.00011906984289883232,0.4241434707589154,0.02847279783878289,1.13,0.701,341003055.50385386,10.129068633936964
ESP,1998,26053.9053737859,40223509.0,0.00011857809360111804,0.42239179083058115,0.02847279783878289,1.4,0.7040000000000001,351519844.58732426,10.167922954324373
ESP,1999,27113.7325084429,40386875.0,5.5108669656770616e-05,0.04206832046302171,0.02847279783878289,1.4,0.7090000000000001,373131551.8129189,10.207795613150045
ESP,2000,28408.806768517203,40567864.0,5.486280847432065e-05,0.041880637343883816,0.02847279783878289,1.37,0.715,392452568.0148622,10.25445447356201
ESP,2001,29321.8888343637,40850412.0,8.176587787466477e-05,0.012477289090744055,0.02847279783878289,1.37,0.716,392358457.6763243,10.286089575288639
ESP,2002,29700.155875031098,41431558.0,8.061897645079483e-05,0.012302274512582896,0.02847279783878289,1.36,0.7170000000000001,410852602.1999008,10.298907573094564
ESP,2003,30037.6248621551,42187645.0,0.0005940263852863232,0.06309380862572443,0.02847279783878289,1.39,0.72,420928953.61149406,10.310206036911827
ESP,2004,30445.748858683903,42921895.0,0.0005838645815403217,0.06201448468200205,0.02847279783878289,1.36,0.726,437181286.0645962,10.32370165283933
